Protein Chain Length,Run Duration (milliseconds)
1,0
2,16
3,0
4,0
5,0
6,16
7,16
8,16
9,16
10,16
11,31
12,31
13,47
14,47
15,47
16,62
17,78
18,62
19,94
20,78
21,94
22,109
23,125
24,125
25,141
26,188
27,172
28,172
29,188
30,203
31,234
32,234
33,250
34,266
35,312
36,297
37,312
38,359
39,344
40,422
41,406
42,406
43,453
44,516
45,516
46,500
47,531
48,547
49,594
50,625
51,609
52,734
53,688
54,734
55,766
56,828
57,781
58,828
59,875
60,875
61,891
62,984
63,953
64,1016
65,1016
66,1094
67,1141
68,1250
69,1156
70,1172
71,1281
72,1344
73,1391
74,1344
75,1984
76,1375
77,1500
78,1531
79,1609
80,1578
81,1641
82,1828
83,1750
84,1781
85,1938
86,1875
87,1859
88,1875
89,2016
90,2125
91,2047
92,2062
93,2109
94,2156
95,2188
96,2203
97,2562
98,2359
99,2359
100,2438
